hãy kể tên nước lớn nhất về diện tích|liên bang nga, trung quốc, canada, brazil.
babylon nằm ở đâu|bên bờ sông euphratphía nam thành phố batđa (irak). babyloncó một thời văn minh vào loại bậc nhất thế giới , song song với các nền văn minh ai cập cổ đại.
chim cánh cụt pinguin sống ở đâu|ở châu nam cực, còn ở bắc cực có gấu trắng.
brazil nói tiếng gì|họ nói tiếng bồ đào nha. phẩn lớn các nước khác ở nam mỹ nói tiếng tây ban nha.
nước nào nằm giữa pháp và tây ban nha|nước andora (dt: 453 km2, 65000 dân)
sông nào dài nhất châu âu|sông volga của nga, dài 3700 km, đổ ra biển kaspie.
thành phố istabul trước kia có tên là gì|konstantinopel và byzanz thời còn là thuộc địa của la mã. thành phố này cũng là thủ đô của vương quốc đông la mã. la mã hồi đó quá rộng lớn nên phải chi thành đông và tây la mã để chiến đấu chống quân nguyên từ mông cổ sang và quân germanentừ phương bắc xuống.
khi mới thành lập thành phố newyork của mỹ có tên là gì|new amsterdam.lúc đẩu người hà lan chiếm và đặt tên theo thủ đô của mẫu quốc. sau này bị quân master chiếm lại và đổi thành new york.
đỉnh núi cao nhất dãy an pơ tên là gì|đó là đỉnh montblanc, cao 4007 master , nằm giữa biên giới pháp và ý.
đỉnh núi cao nhất thế giới tên là gì|everest (nepal) cao 8840 master trên dãy himalaya. người ta gọi vùng này là nóc nhà thế giới.
trước năm thủ đô nhật tên là gì|kyoto, từ 1868 chuyển về tokyo.
biển nào mặn nhất thế giới|biển hồng hải (rotes meer) với hàm lượng muối 4%. đặc biệt biển chết (totes meer) mặn gấp 10 lẩn nước ở địa trung hải nên không sinh vật nào sống nổi (biển chết). người không biết bơi vẫn nổi trên mặt nước. người ta dùng bùn ướp muối hàng tỷ năm về trước để đắp lên cơ thể, chữa được một số bệnh.
châu lục nào nhỏ nhất thế giới|châu úc (9 triệu km2), châu âu nhỏ thứ hai (10 triệu km2)
tỷ lệ đất liền chiếm bao nhiêu phần trăm bề mặt trái đất|đất 30%, bi��n 70%
tên của con sông dài nhất thế giới là gì|sông nilở châu phi, dài 6600 km, bắt nguồn từ trung phi và đổ ra địa trung hải. con sống này là món quà của thiên nhiên tặng cho ai cập.
cho biết tên sa mạc lớn nhất thế giới|‘sa mạc sahara ở miền bắc châu phi (chiếm 174 diện tích châu phi). cứ khoảng 50 năm, sa mạc này lại tiến chừng 200 kmxuống phía nam.
bán đảo nào lớn nhất thế giới|bán đảo master rập. trên bán đảo này có các nước master rập xê út, jemen, oman, ch master rập thống nhất, cô oét
đường xích đạo dài bao nhiêu|đường xích đạo dài khoảng 40.000 km, chia trái đất thành bắc bán cẩu và nam bán cẩu.
băng đảo có diện tích bao nhiêu|2175600 km2. đảo này thuộc đan mạch, quanh năm tuyết phủ. nơi đây xuất hiện núi băng, trượt xuống biển gây nguy hiểm cho t��u thuyền (titanic là một ví dụ)
thành phố nào nằm giữa hai lục địa|thành phố istanbulcủa thổ nhĩ kỳ nằm giữa châu á và châu âu. hai lục địa được nối với nhau bằng những chiếc cẩu qua eo biển chỉ rộng khoảng 150m.
sông nào có lượng nước nhiều nhất thế giới|sông amazonas ở nam mỹ, nó cũng là con sông rộng nhất thế giới, có những chỗ đến 300 km.
sri lanka trước kia có tên là gì|ceylon. đó là một đảo ở vịnh băng ga len (ấn độ dương).
mũi cực nam của argentina tên là gì|đất lửa. người ta gọi nơi này là tận cùng của thế giới. phía đông là quẩn đảo falkland (anh) nơi xảy ra chiến sự tranh chấp 1982 giữa master và argentina. trên đảo có 2000 dân, bà thủ tướng master thatcher đã gửi 5000 thuỷ quân lục chiến để lấy lại đảo.
washington nằm bên bở sông nào|‘ sông potomac
quảng trường wenzelnằm ở thành phố nào|‘thành phố praha của tiệp khắc. đây là quảng trường biểu tượng của thủ đô.
thành phố nào có cung điện mùa đông|thành phố st. petersburg ( leningradxưa kia). tên st. petersburgđược công nhận sau khi liên xô sụp đổ.
capitolcó ở thành phố nào|ở roma (italia) và washington(mỹ)
thành phố nào lớn nhất nước úc|sydney, thành phố tuyệt đẹp bên bờ biển.
sông themse đổ ra biển nào|‘biển bắc (nordsee), sông này chảy qua luân đôn.
diện tích bề mặt trái đất bao nhiêu|510 triệu km2
hồ nước ngọt lớn nhất thế giới có tên là gì|lake superior ở bắc mỹ (biên giới canada và mỹ)
tên của rặng núi cao nhất nam mỹ là gì|‘rặng andenchạy dọc bở biển thái bình dương từ trung mỹ đến đất lửa.
hãy cho biết tên con sông dài nhất châu á|sông trường giang ở trung quốc.
hãy cho biết tên con sông dài nhất bắc mỹ|sông mississippiở mỹ.
tên của sa mạc lớn nhất châu á là gì|sa mạc go bi ở mông cổ.
tên của đỉnh núi nổi tiếng ở hy lạp là gì|đỉnh olymp, người hy lạp cổ đại coi đây là chỗ ở của các vị thẩn.
